model,dataset,filename,num_detections,iou,accuracy,precision,recall,inference_time_sec
YOLO26+UNET,Main,000000408774.jpg,4,0.7552605703048181,0.9850510510510511,0.8696784420289855,0.8516465240048786,0.4028928279876709
YOLO26+UNET,Main,000000511076.jpg,1,0.7932605993647286,0.9835663056206089,0.8545923427891291,0.9170347506785164,0.16199994087219238
YOLO26+UNET,Main,000000336232.jpg,2,0.7146401985111662,0.9894796545667447,0.8058198097369894,0.8633093525179856,0.24126505851745605
YOLO26+UNET,Main,000000003156.jpg,1,0.8673753016280278,0.9387415349887133,0.9628386396772115,0.8974180703473122,0.16381406784057617
YOLO26+UNET,Main,000000161861.jpg,1,0.8651394954987075,0.9919306666666666,0.888177159590044,0.970891267380214,0.16229581832885742
YOLO26+UNET,Main,000000232563.jpg,3,0.8701237386549411,0.9400032552083334,0.9013935425472118,0.9616600728949254,0.3299896717071533
YOLO26+UNET,Main,000000394559.jpg,3,0.6712720675458795,0.9654416079812207,0.7555468289809543,0.8575121451174399,0.3243699073791504
YOLO26+UNET,Main,000000489924.jpg,1,0.8986004692068555,0.9765741808706053,0.9251481331651714,0.9690545626760387,0.18744254112243652
YOLO26+UNET,Main,000000009590.jpg,6,0.771798994287278,0.9267674180327868,0.8814084617087495,0.8612326954397395,0.5811254978179932
YOLO26+UNET,Main,000000171757.jpg,2,0.8913391853428687,0.9704231770833334,0.9294425738870183,0.9560287326834274,0.24721264839172363
YOLO26+UNET,Main,000000416343.jpg,2,0.8133467360808966,0.9544752634660422,0.9737050075436454,0.8316126953933946,0.25305747985839844
YOLO26+UNET,Main,000000171788.jpg,1,0.9030209233614054,0.9823441159250585,0.9303019008572494,0.9685472222821049,0.16357016563415527
YOLO26+UNET,Main,000000342971.jpg,1,0.7980151051744585,0.947147212543554,0.9585874237728681,0.8265095030814981,0.17719697952270508
YOLO26+UNET,Main,000000209829.jpg,3,0.7650778960357859,0.9950423177083333,0.9462037390309043,0.7998709885502339,0.32607555389404297
YOLO26+UNET,Main,000000341719.jpg,5,0.47613219094247244,0.9846744791666666,0.8175391669850974,0.5327440239043825,0.4965023994445801
YOLO26+UNET,Main,000000224222.jpg,3,0.8707370737073707,0.9965522300469484,0.9223597960670066,0.9396052826828907,0.3233957290649414
YOLO26+UNET,Main,000000140987.jpg,2,0.6228818167975463,0.8725257352941177,0.9447056300621897,0.6464499379162434,0.24123263359069824
YOLO26+UNET,Main,000000060932.jpg,8,0.8754148809332002,0.9435419100467289,0.9460821870102734,0.9213830878674569,0.7438755035400391
YOLO26+UNET,Main,000000286182.jpg,1,0.9336076817558299,0.9960447175732218,0.9629315223542728,0.9684120660216278,0.16597199440002441
YOLO26+UNET,Main,000000504074.jpg,2,0.7951225810616698,0.9535494730679157,0.8690858413012031,0.9033151197330301,0.2463672161102295
YOLO26+UNET,Main,000000226154.jpg,0,0.0,0.9866586538461538,0.0,0.0,0.08395910263061523
YOLO26+UNET,Main,000000119911.jpg,1,0.8693197095993547,0.9928529411764706,0.8857534246575343,0.9791035735917626,0.16034841537475586
YOLO26+UNET,Main,000000176901.jpg,3,0.8778011771693935,0.9901505919220056,0.9211764039213464,0.9490892106492294,0.35741305351257324
YOLO26+UNET,Main,000000498807.jpg,1,0.9228873347915832,0.9908193955399061,0.9334704434265059,0.987864397836697,0.16175103187561035
YOLO26+UNET,Main,000000271402.jpg,2,0.8493119385158644,0.9465322818396227,0.9470075968130443,0.8916900195182589,0.25067591667175293
YOLO26+UNET,Main,000000149222.jpg,0,0.0,0.9946788511749347,0.0,0.0,0.08386087417602539
YOLO26+UNET,Main,000000411754.jpg,4,0.9078554451825218,0.960625,0.9126386080990014,0.9942601615163852,0.4117856025695801
YOLO26+UNET,Main,000000252776.jpg,4,0.9054861869829873,0.9547286184210526,0.9384574321810447,0.9626486132198355,0.4136028289794922
YOLO26+UNET,Main,000000573258.jpg,1,0.9162082008080461,0.9873079427083333,0.9749811329384591,0.9382675293806946,0.1638190746307373
YOLO26+UNET,Main,000000380913.jpg,6,0.8334798848024781,0.9246422313084112,0.9051795132378967,0.9132121833513055,0.5775766372680664
YOLO26+UNET,Main,000000173057.jpg,7,0.5007045171985081,0.980390625,0.8074044373162256,0.5686182228915663,0.6577396392822266
YOLO26+UNET,Main,000000351096.jpg,1,0.7035195476260115,0.9837813333333333,0.7838366282859005,0.8728680295149389,0.1623530387878418
YOLO26+UNET,Main,000000199771.jpg,8,0.7726282960819296,0.8809926470588235,0.8955432888802045,0.8491539031620553,0.7428483963012695
YOLO26+UNET,Main,000000564091.jpg,1,0.8829543318925014,0.965815281030445,0.9309142306117327,0.9448682711000872,0.16108107566833496
YOLO26+UNET,Main,000000261116.jpg,2,0.5858391442905373,0.9299946666666666,0.8066646391797367,0.6815328708292039,0.25179171562194824
YOLO26+UNET,Main,000000040757.jpg,1,0.5419753086419753,0.8908823529411765,0.8738927042898378,0.5879595526685863,0.16010570526123047
YOLO26+UNET,Main,000000091406.jpg,4,0.9471922455573506,0.9849425117924528,0.969508162023441,0.9762754762221926,0.4075167179107666
YOLO26+UNET,Main,000000326174.jpg,7,0.7877411033593246,0.9764290364583333,0.8287229777654423,0.9409313725490196,0.6547505855560303
